1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$3m$,$\bar{3}m$,$\bar{6}$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$,$\infty$
d2346,0,d2346,0,0,d2346,0,0,d1356,-d1356,d1356,-d1356,0,0,0,d1134/2 - d1234/2,0,d1134/2 - d1234/2,0,0,0,0,d1134/2 - d1234/2,d1134/2 - d1234/2,0,0,0,d1256,d1256,0,d1256,0,0
d2355,0,d2355,0,0,0,0,0,0,0,0,0,0,0,0,d1345,0,0,d1345,0,d1345,d1345,0,0,0,0,0,0,0,0,0,0,0
d2356,0,0,d2356,0,0,d2356,0,-d1346,d1346,0,0,0,d1346,0,d1135/2 - d1235/2,0,0,d1135/2 - d1235/2,0,0,0,d1135/2 - d1235/2,0,0,d1135/2 - d1235/2,0,0,0,0,0,0,0
d2366,0,d2366,0,0,0,0,0,0,0,0,0,0,0,0,d1136/2 - d1236/2,0,0,d1136/2 - d1236/2,0,d1136/2 - d1236/2,d1136/2 - d1236/2,0,0,0,0,0,0,0,0,0,0,0
d2444,0,0,d2444,0,0,d2444,0,-d1555,d1555,0,0,0,d1555,0,3*d1445,0,0,3*d1445,0,0,0,3*d1445,0,0,3*d1445,0,0,0,0,0,0,0
d2445,0,d2445,0,0,d2445,0,0,d1455,-d1455,d1455,-d1455,0,0,0,-d1444/3,0,-d1444/3,0,0,0,0,-d1444/3,-d1444/3,0,0,0,d1466,-d1455,0,d1455,0,0
d2446,0,0,d2446,0,0,0,0,0,0,0,0,0,0,0,- d1144/2 - d1155 - d1244/2,0,- d1144/2 - d1155 - d1244/2,0,0,- d1144/2 - d1155 - d1244/2,0,0,0,0,0,0,0,0,0,0,0,0
d2455,0,0,d2455,0,0,d2455,0,-d1445,d1445,0,0,0,d1445,0,d1445,0,0,d1445,0,0,0,d1445,0,0,d1445,0,0,0,0,0,0,0
d2456,0,d2456,0,0,0,0,0,0,0,0,0,0,0,0,d1145/2 - d1245/2,0,0,d1145/2 - d1245/2,0,d1145/2 - d1245/2,d1145/2 - d1245/2,0,0,0,0,0,0,0,0,0,0,0
d2466,0,0,d2466,0,0,d2466,0,-d1566,d1566,0,0,0,d1566,0,d1115/4 - d1125/2 + d1225/4,0,0,d1115/4 - d1125/2 + d1225/4,0,0,0,d1115/4 - d1125/2 + d1225/4,0,0,d1115/4 - d1125/2 + d1225/4,0,0,0,0,0,0,0
