1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$3m$,$\bar{3}m$,$\bar{6}$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$,$\infty$
 d22566,0, d22566,0,0, d22566,0,0,  d11466, -d11466, d11466, -d11466,0,0,0,                             d11124/2 - d11114/8 + d11156/2 - d11224/8 + d11256/2 + d11466/2 - d12224/4,0,                             d11124/2 - d11114/8 + d11156/2 - d11224/8 + d11256/2 + d11466/2 - d12224/4,0,0,0,0,                             d11124/2 - d11114/8 + d11156/2 - d11224/8 + d11256/2 + d11466/2 - d12224/4,                             d11124/2 - d11114/8 + d11156/2 - d11224/8 + d11256/2 + d11466/2 - d12224/4,0,0,0, d11455,  d11455,0, d11455,0,0
 d22666,0,0, d22666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 d23333,0, d23333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 d23334,0,0, d23334,0,0, d23334,0, -d13335,  d13335,0,0,0, d13335,0,                                                                                                 d13335,0,0,                                                                                                 d13335,0,0,0,                                                                                                 d13335,0,0,                                                                                                 d13335,0,0,0,0,0,0,0
 d23335,0, d23335,0,0, d23335,0,0,  d13334, -d13334, d13334, -d13334,0,0,0,                                                                                                -d13334,0,                                                                                                -d13334,0,0,0,0,                                                                                                -d13334,                                                                                                -d13334,0,0,0, d12224,  d12224,0, d12224,0,0
 d23336,0,0, d23336,0,0,0,0,0,0,0,0,0,0,0,                                                                                                -d11333,0,                                                                                                -d11333,0,0,                                                                   -d11333,0,0,0,0,0,0,0,0,0,0,0,0
 d23344,0, d23344,0,0,0,0,0,0,0,0,0,0,0,0,                                                                                                -d13345,0,0,                                                                                                -d13345,0,                                                                   -d13345,                                                                 -d13345,0,0,0,0,0,0,0,0,0,0,0
 d23345,0,0, d23345,0,0,0,0,0,0,0,0,0,0,0,                                                                                                 d13344,0,                                                                                                 d13344,0,0,                                                                    d13344,0,0,0,0,0,0,0,0,0,0,0,0
 d23346,0, d23346,0,0, d23346,0,0,  d13356, -d13356, d13356, -d13356,0,0,0,                                                                                    d11334/2 - d12334/2,0,                                                                                    d11334/2 - d12334/2,0,0,0,0,                                                                                    d11334/2 - d12334/2,                                                                                    d11334/2 - d12334/2,0,0,0, d12256,  d12256,0, d12256,0,0
 d23355,0, d23355,0,0,0,0,0,0,0,0,0,0,0,0,                                                                                                 d13345,0,0,                                                                                                 d13345,0,                                                                    d13345,                                                                  d13345,0,0,0,0,0,0,0,0,0,0,0
 d23356,0,0, d23356,0,0, d23356,0, -d13346,  d13346,0,0,0, d13346,0,                                                                                    d11335/2 - d12335/2,0,0,                                                                                    d11335/2 - d12335/2,0,0,0,                                                                                    d11335/2 - d12335/2,0,0,                                                                                    d11335/2 - d12335/2,0,0,0,0,0,0,0
 d23366,0, d23366,0,0,0,0,0,0,0,0,0,0,0,0,                                                                                    d11336/2 - d12336/2,0,0,                                                                                    d11336/2 - d12336/2,0,                                                       d11336/2 - d12336/2,                                                     d11336/2 - d12336/2,0,0,0,0,0,0,0,0,0,0,0
 d23444,0,0, d23444,0,0, d23444,0, -d13555,  d13555,0,0,0, d13555,0,                                                                                               3*d13445,0,0,                                                                                               3*d13445,0,0,0,                                                                                               3*d13445,0,0,                                                                                               3*d13445,0,0,0,0,0,0,0
 d23445,0, d23445,0,0, d23445,0,0,  d13455, -d13455, d13455, -d13455,0,0,0,                                                                                              -d13444/3,0,                                                                                              -d13444/3,0,0,0,0,                                                                                              -d13444/3,                                                                                              -d13444/3,0,0,0, d12466,  d12466,0, d12466,0,0
 d23446,0,0, d23446,0,0,0,0,0,0,0,0,0,0,0,                                                                         - d11344/2 - d11355 - d12344/2,0,                                                                         - d11344/2 - d11355 - d12344/2,0,0,                                            - d11344/2 - d11355 - d12344/2,0,0,0,0,0,0,0,0,0,0,0,0
 d23455,0,0, d23455,0,0, d23455,0, -d13445,  d13445,0,0,0, d13445,0,                                                                                                 d13445,0,0,                                                                                                 d13445,0,0,0,                                                                                                 d13445,0,0,                                                                                                 d13445,0,0,0,0,0,0,0
 d23456,0, d23456,0,0,0,0,0,0,0,0,0,0,0,0,                                                                                    d11345/2 - d12345/2,0,0,                                                                                    d11345/2 - d12345/2,0,                                                       d11345/2 - d12345/2,                                                     d11345/2 - d12345/2,0,0,0,0,0,0,0,0,0,0,0
 d23466,0,0, d23466,0,0, d23466,0, -d13566,  d13566,0,0,0, d13566,0,                                                                         d11135/4 - d11235/2 + d12235/4,0,0,                                                                         d11135/4 - d11235/2 + d12235/4,0,0,0,                                                                         d11135/4 - d11235/2 + d12235/4,0,0,                                                                         d11135/4 - d11235/2 + d12235/4,0,0,0,0,0,0,0
